Registered Date,Property Type,Lender
2/27/2014,Single Family,Wells Fargo Bank N.A.
8/20/2014,Single Family,Wells Fargo Bank N.A.
12/9/2014,Multi-Family,Nationstar Mortgage LLC
12/29/2014,Single Family,Green Tree Servicing LLC
9/19/2014,Single Family,NATNIC. LLC
11/11/2014,Single Family,NationStar
9/18/2014,Single Family,Nationstar Mortgage
12/31/2014,Single Family,JP Morgan Chase NA
10/21/2014,Single Family,NATIONSTAR MORTGAGE LLC
5/2/2014,Multi-Family,SolutionStar
5/9/2014,Multi-Family,NATIONSTAR MORTGAGE LLC
2/3/2014,Single Family,Wells Fargo Bank N.A.
1/10/2014,Single Family,JP Morgan Chase NA
8/4/2014,Single Family,Ocwen Loan Servicing  LLC
10/31/2014,Single Family,Select Portfolio Servicing
12/9/2014,Multi-Family,JP Morgan Chase NA
12/18/2014,Single Family,Select Portfolio Servicing
1/17/2014,Single Family,NATIONSTAR MORTGAGE LLC
1/17/2014,Single Family,Nationstar Mortgage LLC
2/4/2014,Multi-Family,Ocwen Loan Servicing  LLC
1/29/2014,Multi-Family,Wells Fargo Bank N.A.
1/17/2014,Multi-Family,JP Morgan Chase NA
1/23/2014,Single Family,Green Tree
10/31/2014,Multi-Family,Resurgent Capital
8/20/2014,Single Family,Wells Fargo Bank N.A.
11/3/2014,Multi-Family,Bank of America
6/9/2014,Single Family,Fay Financial
11/25/2014,Single Family,Linden Properties inc
10/1/2014,Single Family,JP Morgan Chase NA
1/15/2014,Single Family,BAC HOME LOANS SERVICING
6/9/2014,Single Family,Wells Fargo Bank N.A.
1/13/2014,Single Family,Central Mortgage Company
4/9/2014,Single Family,NATIONSTAR MORTGAGE LLC
6/13/2014,Single Family,JP Morgan Chase NA
3/11/2014,Single Family,Ocwen Loan Servicing  LLC
6/27/2014,Single Family,Wells Fargo Bank N.A.
12/2/2014,Single Family,XCEED FINACIAL CREDIT UNION
1/14/2014,Single Family,JP Morgan Chase NA
3/12/2014,Single Family,SETERUS INC 
12/11/2014,Single Family,Nationstar Mortgage
6/9/2014,Single Family,Wells Fargo Bank N.A.
9/4/2014,Single Family,DOWNEY SAVINGS & LOAN
10/10/2014,Non-Residential,OK LLC
5/14/2014,Single Family,JP Morgan Chase NA
7/28/2014,Single Family,Ocwen Loan Servicing  LLC
5/9/2014,Single Family,SUNWEST MORTGAGE
10/9/2014,Single Family,Wells Fargo Bank N.A.
3/10/2014,Single Family,Ocwen Loan Servicing  LLC
11/25/2014,Single Family,Nationstar Mortgage
5/16/2014,Single Family,Wells Fargo Bank N.A.
8/20/2014,Single Family,Wells Fargo Bank N.A.
7/9/2014,Single Family,Wells Fargo Bank N.A.
2/3/2014,Multi-Family,Wells Fargo Bank N.A.
3/7/2014,Single Family,Ocwen Loan Servicing  LLC
3/12/2014,Single Family,Ocwen Loan Servicing  LLC
1/15/2014,Single Family,NATIONSTAR MORTGAGE LLC
1/15/2014,Multi-Family,JP Morgan Chase NA
11/20/2014,Single Family,NationStar
9/19/2014,Single Family,DOWNEY SAVINGS & LOAN
11/11/2014,Single Family,Resurgent Capital
10/27/2014,Single Family,U.S. Bank NA  c/o Select Portfolio Servicing
12/5/2014,Single Family,Wells Fargo Bank C/O Select Portfolio Servicing
11/7/2014,Multi-Family,US Bank  N.A.  as Trustee  c/o Select Portfolio Servicing
12/24/2014,Single Family,PHH Mortgage Corporation
10/25/2014,Single Family,U.S. Bank National Association C/O Select Portfolio Servicing
2/3/2014,Single Family,Wells Fargo Bank N.A.
8/25/2014,Single Family,David G. Johnson/Ken Coplon
10/27/2014,Single Family,Deutsche Bank National Trust Company C/O Select Portfolio Servicing
6/9/2014,Single Family,Wells Fargo Bank N.A.
1/29/2014,Single Family,Wells Fargo Bank N.A.
4/10/2014,Single Family,NATIONSTAR MORTGAGE LLC
2/3/2014,Single Family,Wells Fargo Bank N.A.
3/26/2014,Single Family,US Bank  N.A.  as Trustee  c/o Select Portfolio Servicing
5/9/2014,Single Family,Wells Fargo Bank N.A.
11/17/2014,Multi-Family,Bank of America
6/9/2014,Single Family,Wells Fargo Bank N.A.
1/31/2014,Multi-Family,Deutsche Bank  as Trustee  c/o Select Portfolio Servicing
